# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$1/ \sigma \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j1j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
1.800000e+02	1.840000e+02	1.542035e-05	0.000000e+00	6.252475e-06
1.840000e+02	1.880000e+02	1.461440e-05	0.000000e+00	7.464365e-06
1.880000e+02	1.920000e+02	1.221209e-05	0.000000e+00	4.833195e-06
1.920000e+02	1.960000e+02	1.299772e-05	0.000000e+00	4.705253e-06
1.960000e+02	2.000000e+02	1.175538e-05	0.000000e+00	4.632000e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
RatioPlotSameStyle=1
Scale=13.4757123194
Title=CP-odd
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	1.465627e-11	0.000000e+00	9.666367e-10
1.200000e+01	1.600000e+01	4.079692e-08	0.000000e+00	2.333500e-09
1.600000e+01	2.000000e+01	6.480240e-07	4.355000e-09	9.852050e-08
2.000000e+01	2.400000e+01	2.886958e-06	1.471650e-07	0.000000e+00
2.400000e+01	2.800000e+01	6.779130e-06	1.158700e-07	0.000000e+00
2.800000e+01	3.200000e+01	1.049690e-05	4.624500e-07	1.531933e-06
3.200000e+01	3.600000e+01	1.376608e-05	0.000000e+00	1.768355e-06
3.600000e+01	4.000000e+01	1.598477e-05	0.000000e+00	4.040400e-06
4.000000e+01	4.400000e+01	1.934643e-05	0.000000e+00	3.731750e-06
4.400000e+01	4.800000e+01	1.809095e-05	0.000000e+00	3.060518e-06
4.800000e+01	5.200000e+01	1.913973e-05	0.000000e+00	4.637887e-06
5.200000e+01	5.600000e+01	2.120246e-05	0.000000e+00	2.188053e-06
5.600000e+01	6.000000e+01	1.951664e-05	0.000000e+00	4.221148e-06
6.000000e+01	6.400000e+01	1.678354e-05	0.000000e+00	5.657730e-06
6.400000e+01	6.800000e+01	1.819113e-05	0.000000e+00	2.395028e-06
6.800000e+01	7.200000e+01	1.820485e-05	0.000000e+00	5.061298e-06
7.200000e+01	7.600000e+01	1.780840e-05	2.471275e-07	4.119980e-06
7.600000e+01	8.000000e+01	1.539271e-05	0.000000e+00	4.295482e-06
8.000000e+01	8.400000e+01	1.603489e-05	0.000000e+00	1.897163e-06
8.400000e+01	8.800000e+01	1.581395e-05	0.000000e+00	3.282647e-06
8.800000e+01	9.200000e+01	1.576770e-05	0.000000e+00	1.539812e-06
9.200000e+01	9.600000e+01	1.472231e-05	0.000000e+00	3.635050e-06
9.600000e+01	1.000000e+02	1.420508e-05	0.000000e+00	4.091645e-06
1.000000e+02	1.040000e+02	1.501136e-05	0.000000e+00	3.291065e-06
1.040000e+02	1.080000e+02	1.347401e-05	2.299100e-07	1.142025e-06
1.080000e+02	1.120000e+02	1.236677e-05	0.000000e+00	3.762370e-06
1.120000e+02	1.160000e+02	1.312059e-05	0.000000e+00	2.967207e-06
1.160000e+02	1.200000e+02	1.349180e-05	4.949000e-07	4.932365e-06
1.200000e+02	1.240000e+02	1.278159e-05	1.792762e-06	7.528750e-08
1.240000e+02	1.280000e+02	1.110870e-05	0.000000e+00	2.653418e-06
1.280000e+02	1.320000e+02	1.062570e-05	0.000000e+00	2.251867e-06
1.320000e+02	1.360000e+02	1.098993e-05	0.000000e+00	2.989895e-06
1.360000e+02	1.400000e+02	6.963857e-06	0.000000e+00	5.110513e-06
1.400000e+02	1.440000e+02	9.597477e-06	0.000000e+00	3.051835e-06
1.440000e+02	1.480000e+02	9.524920e-06	0.000000e+00	1.748677e-06
1.480000e+02	1.520000e+02	9.491523e-06	3.885075e-07	2.194597e-06
1.520000e+02	1.560000e+02	9.382727e-06	0.000000e+00	7.158175e-07
1.560000e+02	1.600000e+02	8.794390e-06	0.000000e+00	1.626698e-06
1.600000e+02	1.640000e+02	8.195488e-06	5.732500e-09	2.702812e-06
1.640000e+02	1.680000e+02	7.951293e-06	0.000000e+00	1.561787e-06
1.680000e+02	1.720000e+02	7.463140e-06	0.000000e+00	2.374375e-06
1.720000e+02	1.760000e+02	7.764157e-06	1.879050e-06	1.192953e-06
1.760000e+02	1.800000e+02	6.481660e-06	0.000000e+00	2.112580e-06
1.800000e+02	1.840000e+02	6.903510e-06	0.000000e+00	2.088043e-06
1.840000e+02	1.880000e+02	6.103755e-06	0.000000e+00	1.728658e-06
1.880000e+02	1.920000e+02	6.442367e-06	0.000000e+00	1.873677e-06
1.920000e+02	1.960000e+02	5.530468e-06	0.000000e+00	1.025982e-06
1.960000e+02	2.000000e+02	5.870755e-06	0.000000e+00	4.080955e-06
# END HISTO1D

