# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/log10_R_4 //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/log10_R_4
Title=$\log_{10}$(Integrated $4$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/log10_R_4
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/log10_R_4 //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/log10_R_4
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{\geq4}$
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/log10_R_4
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/log10_R_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/log10_R_4
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
3.307106e+00	3.379364e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.379364e+00	3.451622e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.451622e+00	3.523880e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.523880e+00	3.596138e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.596139e+00	3.668397e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.668397e+00	3.740655e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.740655e+00	3.812913e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/log10_R_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/log10_R_4
Title=h(2*,3*,4)-ffac
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	3.234590e-02	0.000000e+00	0.000000e+00
2.722583e-01	3.445165e-01	3.199054e-02	0.000000e+00	0.000000e+00
3.445166e-01	4.167748e-01	3.134723e-02	0.000000e+00	0.000000e+00
4.167748e-01	4.890330e-01	3.025987e-02	0.000000e+00	0.000000e+00
4.890331e-01	5.612913e-01	2.863332e-02	0.000000e+00	0.000000e+00
5.612914e-01	6.335496e-01	2.642958e-02	0.000000e+00	0.000000e+00
6.335496e-01	7.058078e-01	2.370725e-02	0.000000e+00	0.000000e+00
7.058079e-01	7.780661e-01	2.055669e-02	0.000000e+00	0.000000e+00
7.780662e-01	8.503244e-01	1.726276e-02	0.000000e+00	0.000000e+00
8.503244e-01	9.225826e-01	1.410090e-02	0.000000e+00	0.000000e+00
9.225827e-01	9.948409e-01	1.101964e-02	0.000000e+00	0.000000e+00
9.948409e-01	1.067099e+00	8.297824e-03	0.000000e+00	0.000000e+00
1.067099e+00	1.139357e+00	6.882673e-03	0.000000e+00	0.000000e+00
1.139358e+00	1.211616e+00	5.593506e-03	0.000000e+00	0.000000e+00
1.211616e+00	1.283874e+00	4.680843e-03	0.000000e+00	0.000000e+00
1.283874e+00	1.356132e+00	4.559326e-03	0.000000e+00	0.000000e+00
1.356132e+00	1.428390e+00	4.124683e-03	0.000000e+00	0.000000e+00
1.428391e+00	1.500649e+00	3.590797e-03	0.000000e+00	0.000000e+00
1.500649e+00	1.572907e+00	2.957615e-03	0.000000e+00	0.000000e+00
1.572907e+00	1.645165e+00	2.017213e-03	0.000000e+00	0.000000e+00
1.645165e+00	1.717423e+00	1.610797e-03	0.000000e+00	0.000000e+00
1.717424e+00	1.789682e+00	9.989045e-04	0.000000e+00	0.000000e+00
1.789682e+00	1.861940e+00	6.260067e-04	0.000000e+00	0.000000e+00
1.861940e+00	1.934198e+00	2.786496e-04	0.000000e+00	0.000000e+00
1.934199e+00	2.006457e+00	1.384270e-04	0.000000e+00	0.000000e+00
2.006457e+00	2.078715e+00	5.798941e-05	0.000000e+00	0.000000e+00
2.078715e+00	2.150973e+00	2.264225e-05	0.000000e+00	0.000000e+00
2.150973e+00	2.223231e+00	6.669819e-06	0.000000e+00	0.000000e+00
2.223232e+00	2.295490e+00	2.691132e-06	0.000000e+00	0.000000e+00
2.295490e+00	2.367748e+00	7.215690e-07	0.000000e+00	0.000000e+00
2.367748e+00	2.440006e+00	1.012544e-07	0.000000e+00	0.000000e+00
2.440006e+00	2.512264e+00	2.243720e-08	0.000000e+00	0.000000e+00
2.512265e+00	2.584523e+00	4.946852e-09	0.000000e+00	0.000000e+00
2.584523e+00	2.656781e+00	-3.150036e-10	0.000000e+00	0.000000e+00
2.656781e+00	2.729039e+00	9.094668e-12	0.000000e+00	0.000000e+00
2.729039e+00	2.801297e+00	6.147514e-13	0.000000e+00	0.000000e+00
2.801298e+00	2.873556e+00	1.511448e-19	0.000000e+00	0.000000e+00
2.873556e+00	2.945814e+00	2.090053e-20	0.000000e+00	0.000000e+00
2.945814e+00	3.018072e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.018073e+00	3.090331e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.090331e+00	3.162589e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.162589e+00	3.234847e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.234847e+00	3.307105e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.307106e+00	3.379364e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.379364e+00	3.451622e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.451622e+00	3.523880e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.523880e+00	3.596138e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.596139e+00	3.668397e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.668397e+00	3.740655e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.740655e+00	3.812913e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

